,td-hm_ViTPose-base_3xb128-210e-f0_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f1_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f2_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f3_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f4_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f5_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f6_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f7_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f8_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f9_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f10_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f11_gm-256x192,td-hm_ViTPose-base_3xb128-210e-f12_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f0_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f1_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f2_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f3_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f4_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f5_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f6_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f7_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f8_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f9_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f10_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f11_gm-256x192,td-hm_ViTPose-base-simple_3xb128-210e-f12_gm-256x192
@0.1/Head PCK,0.9105400904116108,0.9074470616226505,0.9095883892457768,0.907209136331192,0.9138710444920295,0.9074470616226505,0.9083987627884844,0.9083987627884844,0.9083987627884844,0.9088746133714014,0.8986438258386866,0.9060195098738996,0.9129193433261956,0.9055436592909827,0.9107780157030693,0.9093504639543183,0.9091125386628599,0.9105400904116108,0.9086366880799429,0.9062574351653581,0.9093504639543183,0.9083987627884844,0.9103021651201523,0.9093504639543183,0.9098263145372353,0.9119676421603616
@0.1/Eye PCK,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9996431120628122,0.9996431120628122,0.9996431120628122,0.9996431120628122,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9944087556507257
@0.1/Neck PCK,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9992862241256245,0.9990482988341661,0.9992862241256245,0.9992862241256245,0.9990482988341661,0.9992862241256245,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9990482988341661,0.9992862241256245,0.9990482988341661,0.9992862241256245
@0.1/Sho PCK,0.9998810373542708,0.9997620747085415,0.9998810373542708,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9996431120628122,0.9996431120628122,0.9996431120628122,0.9997620747085415,0.9997620747085415,0.9996431120628122,0.9992862241256246,0.9996431120628122,0.9997620747085415,0.9998810373542708,0.9998810373542708,0.9996431120628122,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9997620747085415,0.9996431120628122,0.9997620747085415,0.9964311206281227
@0.1/Elb PCK,0.9970854151796336,0.9971448965024982,0.9958957887223412,0.9967880085653105,0.9941708303592672,0.9971448965024983,0.9966690459195813,0.9950035688793718,0.9959552700452059,0.9967285272424458,0.9955389007851535,0.9965500832738521,0.9949440875565072,0.9962526766595289,0.9970854151796336,0.9952414941708304,0.9951820128479658,0.9975017844396858,0.9966095645967166,0.9960742326909351,0.9967285272424459,0.997025933856769,0.9975612657625506,0.9976802284082797,0.9977397097311445,0.9735902926481085
@0.1/Wri PCK,0.9993457054484891,0.999524149417083,0.999524149417083,0.9993457054484892,0.9993457054484891,0.9994646680942184,0.9994051867713538,0.999524149417083,0.9993457054484892,0.9994051867713538,0.9994646680942184,0.999524149417083,0.9987508922198429,0.999524149417083,0.9994646680942184,0.9994051867713538,0.9994051867713538,0.9994646680942184,0.9992862241256245,0.9992862241256246,0.9994646680942184,0.9993457054484892,0.9994051867713537,0.9994051867713538,0.9991672614798953,0.8802640970735188
@0.1/Hand PCK,0.9994051867713538,0.9994051867713538,0.9994051867713538,0.9994051867713538,0.9991672614798953,0.9991672614798953,0.9994051867713538,0.9994051867713538,0.9992862241256246,0.9990482988341661,0.9988103735427076,0.9983345229597906,0.9934570544848917,0.9991672614798953,0.9994051867713538,0.9992862241256246,0.9992862241256246,0.999048298834166,0.9992862241256246,0.9992862241256246,0.999048298834166,0.999048298834166,0.999048298834166,0.9986914108969783,0.9970259338567691,0.8583154889364739
@0.1/Pel PCK,0.9238639067332858,0.9519390911253867,0.9400428265524625,0.9438496312157982,0.9626457292410183,0.9650249821556032,0.9433737806328812,0.9547941946228884,0.933856768974542,0.8898405900547228,0.9112538662859861,0.9029264810849393,0.894361170592434,0.9262431596478705,0.9457530335474661,0.9452771829645491,0.966928384487271,0.9583630739947656,0.9688317868189389,0.9559838210801809,0.9697834879847728,0.9555079704972639,0.8965024982155603,0.9436117059243397,0.914108969783488,0.8822269807280514
@0.1/Hip PCK,0.9913157268617654,0.9942897930049964,0.9946466809421841,0.9942897930049965,0.9915536521532239,0.9971448965024983,0.9940518677135379,0.9908398762788484,0.9920295027361408,0.9922674280275994,0.9933380918391626,0.9944087556507257,0.9920295027361408,0.9920295027361409,0.9957173447537473,0.9914346895074946,0.9926243159647871,0.997025933856769,0.9963121579823935,0.9935760171306209,0.9941708303592672,0.9909588389245777,0.9929812039019748,0.9957173447537473,0.9948846062336427,0.9873899595527005
@0.1/Knee PCK,0.9875684035212943,0.9882226980728052,0.987925291458482,0.987925291458482,0.9878063288127528,0.9877468474898882,0.9872115155841066,0.9881632167499405,0.9875089221984297,0.9879252914584821,0.9875089221984297,0.9873899595527005,0.9848322626695218,0.9876873661670236,0.9878063288127528,0.9876873661670236,0.9877468474898882,0.9875089221984298,0.9875684035212943,0.9872709969069713,0.9873304782298358,0.987627884844159,0.9869735902926481,0.987152034261242,0.9867356650011896,0.9746609564596717
